Study ID,authors,year,journal,Study_Loc,latitude,longitude,aug_daily_average,aug_daily_max,average_summer_rain,weather_station,distance,Study_Lat,Study_Long,Notes on Study_loc,caribou_herd,caribou_type,Subspecies,caribou data?,dates of sampling,data type,method,sample_size,unit,lichen,lichen_error,graminoid,graminoid_error,forbs,forbs_error,shrubs,shrubs_error,horsetail,horsetail_error,tree,tree_error,moss,moss_error,fungi,fungi_error,other,other_error,season,annual,age,sex,spatial,sympatric_ungulates,Notes
11c,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,montane spruce forests sites (mid-elevation: n = 28),Mean precentages of diet,20,6,16,2,20,4,41,5,NA,NA,NA,NA,NA,NA,3,1,0,2,summer,,All adults,all females,montane spruce forests (mid-elevation: n = 28),2,More specific species data available in the supplement data
11d,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,montane spruce forests sites (high-elevation: n = 33),Mean precentages of diet,14,3,3,1,21,3,57,4,NA,NA,NA,NA,NA,NA,5,2,0,1,summer,,All adults,all females,montane spruce forests (high-elevation: n = 33),0,More specific species data available in the supplement data
11e,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,boreal black spruce sites (bogs and treed poor fens: n = 12),,56,8,6,3,8,2,26,7,NA,NA,NA,NA,NA,NA,5,1,0,2,summer,,All adults,all females,boreal black spruce (bogs and treed poor fens: n = 12),0,More specific species data available in the supplement data
11f,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,boreal black spruce sites (uplands: n = 2),,92,3,2,3,0,0,7,4,NA,NA,NA,NA,NA,NA,0,0,0,0,summer,,All adults,all females,boreal black spruce (treed rich fens: n = 6),0,More specific species data available in the supplement data
11g,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,boreal black spruce sites (treed rich fens: n = 6),,21,7,1,1,7,5,53,12,NA,NA,NA,NA,NA,NA,18,4,0,0,summer,,All adults,all females,boreal black spruce (uplands: n = 2),0,More specific species data available in the supplement data
11h,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,boreal white spruce sites (n = 21),,11,4,4,1,14,2,67,5,NA,NA,NA,NA,NA,NA,3,2,0,0,summer,,All adults,all females,boreal white spruce (n = 21),0,More specific species data available in the supplement data
11i,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,wetland sites (n = 4),,11,10,16,1,35,11,37,20,NA,NA,NA,NA,NA,NA,1,1,0,0,summer,,All adults,all females,wetland (n = 4),0,More specific species data available in the supplement data
12,Ferguson et al.,2001,Canadian Journal of Zoology,"Foxe Peninsula on southern Baffin Island, Nunavut,",65,-76,5.9,9.1,158,Cape Dorset NU,89.17,65° N,76° N,googled location,Foxe Peninsula,barren-ground,barren-ground,Analysed percentage of plant species found in the rumen by conducting a point sample of rumen contents collected in a mesh sieve.,Apr-92,rumen,,"n = 14, 8 cows and 6 bulls",Percent occurrence of items identified in rumen contents of caribou,5.6,NA,26.1,2.9,NA,NA,12.2,NA,NA,NA,NA,NA,26.9,NA,NA,NA,29.1,NA,NA,,,8 cows and 6 bulls,,0,
13,Ferguson et al.,2001,Canadian Journal of Zoology,Meta Incognita Peninsula,62.45,-68.29,7.1,10.5,196.6,Iqaluit NU,111.24,"62° 45' 1"" N","68° 29' 59"" W",googled location,Meta Incognita Peninsula,barren-ground,barren-ground,Analysed percentage of plant species found in the rumen by conducting a point sample of rumen contents collected in a mesh sieve.,Apr-92,rumen,,"n = 15, 10 cows and 5 bulls",Percent occurrence of items identified in rumen contents of caribou,11.9,NA,30.1,3.2,NA,NA,9.1,NA,NA,NA,NA,NA,22,NA,NA,NA,26.8,NA,NA,,,"15, 10 cows and 5 bulls",,0,
14a.1,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Davis Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,56.2,2.1,13.9,1.8,1.6,0.4,14.3,1.9,3.5,0.1,NA,NA,10.4,1.1,NA,NA,0.3,0.2,spring,,,unknown,,0,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14a.2,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Davis Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,49,3.2,13.8,2.2,2.7,1,23.3,4,6.7,1.9,NA,NA,4.4,0.7,NA,NA,,,calving,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14a.3,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Davis Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,62.3,2.4,14.1,2.7,3.4,0.6,14.9,2.5,3.2,1,NA,NA,2.1,0.4,NA,NA,,,summer,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14a.4,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Davis Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,81.3,3.5,7.9,5.2,1.7,0.6,7.5,2.3,0,0,NA,NA,2.7,1.5,NA,NA,,,fall,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14a.5,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Davis Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,71.8,3,15.3,2.5,0.9,0.1,6.3,2.2,1.2,0.7,NA,NA,5.4,1.9,NA,NA,,,winter,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14b.1,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Gray Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,65.1,2.3,11.1,2,2.4,2,5,1.4,4.3,2.2,NA,NA,8.6,1.3,NA,NA,3.5,1.6,spring,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14b.2,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Gray Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,36.8,5.5,32.4,4.6,0.8,0.9,28.3,4.3,0.9,0.4,NA,NA,0.6,0.2,NA,NA,0.2,0.1,calving,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14b.3,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Gray Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,24.1,7.2,40.3,5.8,1.8,0.9,31.7,5.6,1.2,0.7,NA,NA,0.6,0.9,NA,NA,0.3,0.3,summer,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14b.4,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Gray Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,68.7,2.3,12.4,1.8,2.3,1.1,5.3,1.5,5.7,1.4,NA,NA,3.6,0.5,NA,NA,1,0.3,fall,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14b.5,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Gray Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,71.9,3.6,12.5,2.9,0.16,0.3,4.6,1.2,0.2,0.1,NA,NA,9.4,2.3,NA,NA,1.3,0.8,winter,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14c.1,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Noyakuk Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,68.8,4.4,10.3,4.1,1.3,0.7,7.9,1.7,4.4,1.9,NA,NA,7.3,2,NA,NA,,,spring,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14c.2,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Noyakuk Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,38.9,14.4,10.4,4.4,1.2,1.2,46.1,14.3,0,0,NA,NA,3.4,3.4,NA,NA,,,calving,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14c.3,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Noyakuk Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,76.6,3.1,4.8,2.8,2.8,1,12.7,2.5,0,0,NA,NA,3.1,0.7,NA,NA,,,winter,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14d.1,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Olanna Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,56,5.1,12.1,2.3,1,0.5,6.1,1.8,14.2,5.1,NA,NA,8.2,1.6,NA,NA,2.5,1,spring,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14d.2,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Olanna Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,49.4,3.2,17.9,4.3,0.6,0.3,15.5,3.9,8.5,2.3,NA,NA,4.8,0.6,NA,NA,3.3,2.6,calving,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14d.3,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Olanna Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,48.8,17.1,5.3,0.6,3,1,20.9,4.9,7.2,1.8,NA,NA,5.9,1.2,NA,NA,0.8,0.6,summer,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14d.4,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Olanna Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,76,NA,3.1,NA,0,0,7.7,NA,0,0,NA,NA,13.3,NA,NA,NA,,,winter,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
14f,Finstand and Kielland,2011,"Arctic, Antarctic and Alpine Research",Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,NA,64°43' - 66°14'N,163°28' - 166°07' - W),direct from paper,Seward Peninsula (Weyiouanna Range),introduced reindeer,introduced-reindeer,Estimates of plant growth form found in digestibility corrected diets using microhistological analysis. Each sample had 5-10 fecal pellets from 8-10 pellet groups.,"June, July, Fall (Sept-Oct), Winter (Nov.-March) and Spring (April-May).",fecal,microhisto,composite of 5– 10 fecal pellets from 8–10 distinct pellet groups.,Mean (±SE) percentage of plant growth form found in digestibility corrected seasonal diets,31.4,4.5,16.7,4.2,2.3,1.3,42.8,4.3,4.4,1.4,NA,NA,1.8,0.5,NA,NA,,,calving,,,,,2,"The acutal paper discusses isotope data, but reports microhistological data from a 2008 thesis that is not published. The data reported here are from that thesis"
15,Fischer and Gates,2005,Canadian Journal of Zoology,"Aishihik Lake area in the
southwestern Yukon",62,-137,12.8,19.8,205.9,Pelly Ranch YT,93.67,62°N,137°W,Estimated from map,Aishihik Lake,woodland,woodland,"histological analysis of fecal samples, each of the 14 samples had 1 pellet from 3-10 pellet groups",May 1999 - Aug 2000 (fecal samples are from late winter),fecal,microhisto,14 fecal samples,mean ± SE diet composition of caribou and bison based on identification of discernible plant fragments,65.3,2.1,7.4,1.6,4.1,0.6,6.4,0.7,NA,NA,0.1,0.01,2.7,0.8,NA,NA,,,winter,,,,,2,
