authors,data_collection,year,included
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Schaefer et al.,fecal,2016,1
Scotter,sampled lichen only,1964,0
Shank et al,rumen,1978,0
Skogland,rumen,1984,0
Sormo et al,rumen,1999,1
Sormo et al,rumen,1999,1
Sormo et al,rumen,1999,1
Sormo et al,rumen,1999,1
Sormo et al,rumen,1999,1
Sormo et al,rumen,1999,1
Staaland and White,rumen,1991,1
Staaland and White,rumen,1991,1
Thompson and Barboza,visual observation,2014,0
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson and McCourt,fecal,1981,1
Thompson et al,video observation,2012,0
Thompson et al,video observation,2015,0
Thompson et al,video observation,2015,0
Thompson et al,video observation,2015,0
Trudell and White,rumen,1981,0
Van der Wal and Loonen,visual observation,1998,0
Van der Wal et al,plant_damage,1999,0
Wegener and Odasz-Albrigtsen,other study,1998,0
White and Trudell,visual observation,1980,0
Zamin et al.,video observation,2017,0
McNeill et al.,video observation,2020,0
Christopherson et al.,fecal,2019,1
Hansen et al.,fecal,2019,0
Larter and Nagy,fecal,1997,1
Larter and Nagy,fecal,1997,1
Larter and Nagy,fecal,1997,1
Larter and Nagy,fecal,1997,1
Larter and Nagy,fecal,1997,1
Thomas and Edmonds,rumen,1983,1
Thomas and Edmonds,rumen,1983,1
Thomas and Edmonds,rumen,1983,1
Thomas and Edmonds,rumen,1983,1
Thomas and Edmonds,rumen,1983,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Gaare and Skogland,rumen,1975,1
Bergerud,rumen,1972,1
Bergerud,rumen,1972,1
Bergerud,rumen,1972,1
Bergerud,rumen,1972,1
Thomas and Hervieux,rumen,1986,1
Bezard et al,fecal,2015,1
Bezard et al,fecal,2015,1
Bezard et al,fecal,2015,1
Bezard et al,fecal,2015,1
Bezard et al,fecal,2015,1
Mathiesen et al,rumen,1999,1
Thing,unknown,1984,0
Scotter,unknown,1967,0
